Name,Age,Occupation,Height,Hometown,Ethnicity,Elimination Week,Season
Kimberly,26,Teacher,5'8",Indianapolis IN,Caucasian,13,5
Moana,28,Real Estate Agent,5'6",San Diego CA,Caucasian,2,6
Sarah,27,Sales,5'7",Cincinnati OH,Caucasian,3,6
Alexis,25,Sales,5'8",Los Angeles CA,Caucasian,4,6
Nancy,26,Waitress,5'5",Chicago IL,Caucasian,5,6
Holly,26,Event Coordinator,5'7",New York NY,Caucasian,6,6
Nancy,25,Advertising Executive,5'7",Chicago IL,Caucasian,7,6
Tessa,25,Teacher,5'8",Pittsburgh PA,Caucasian,8,6
Kimberly,24,Teacher,5'6",Indianapolis IN,Caucasian,9,6
Lindsey,25,Teacher,5'7",Phoenix AZ,Caucasian,10,6
Amanda,26,Marketing,5'6",Tampa FL,Caucasian,11,6
Brandy,25,Model,5'9",San Francisco CA,Caucasian,12,6
Keri,25,Marketing,5'8",Dallas TX,Caucasian,13,6
Lisa,28,Teacher,5'7",Detroit MI,Caucasian,14,6
Megan,25,Medical Sales,5'8",Los Angeles CA,Caucasian,15,6
Erin,26,Teacher,5'6",California,Caucasian,16,6
Bevin,29,Public Relations,5'8",New York NY,Caucasian,17,6
Allison,24,Personal Trainer,5'7",Portland OR,Caucasian,18,6
Courtney,25,Massage Therapist,5'6",San Diego CA,Caucasian,19,6
Jennifer,25,Teacher,5'6",Kansas City MO,Caucasian,20,6
Stephanie,26,Pharmaceutical Sales,5'7",Raleigh NC,Caucasian,21,6
Samantha,26,Public Relations,5'7",Chicago IL,Caucasian,22,6
Heather,25,Waitress,5'8",Tucson AZ,Caucasian,23,6
Lindsay,25,Advertising Executive,5'6",Vancouver WA,Caucasian,24,6
Kristin,27,Human Resources,5'7",Denver CO,Caucasian,25,6
Trish,26,Interior Designer,5'6",Birmingham AL,Caucasian,0,7
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,2,7
Danielle,25,Real Estate Agent,5'7",Columbus OH,Caucasian,3,7
Erin,27,Public Relations,5'8",San Diego CA,Caucasian,4,7
Heather,25,Waitress,5'7",Tucson AZ,Caucasian,5,7
Kristen,25,Teacher,5'6",Vancouver WA,Caucasian,6,7
Courtney,25,Massage Therapist,5'6",San Diego CA,Caucasian,7,7
Stephanie,26,Public Relations,5'7",Raleigh NC,Caucasian,8,7
Bevin,29,Public Relations,5'8",New York NY,Caucasian,9,7
Megan,25,Medical Sales,5'8",Los Angeles CA,Caucasian,10,7
Jessica,25,Personal Trainer,5'6",Portland OR,Caucasian,11,7
Brandy,26,Model,5'9",San Francisco CA,Caucasian,12,7
Jennifer,25,Teacher,5'6",Kansas City MO,Caucasian,13,7
Kimberly,24,Teacher,5'6",Indianapolis IN,Caucasian,14,7
Sarah,25,Sales,5'7",Cincinnati OH,Caucasian,15,7
Lindsay,24,Advertising Executive,5'7",Phoenix AZ,Caucasian,16,7
Moana,28,Real Estate Agent,5'6",San Diego CA,Caucasian,17,7
Samantha,26,Public Relations,5'7",Chicago IL,Caucasian,18,7
Heather,24,Waitress,5'8",Tucson AZ,Caucasian,19,7
Kimberly,25,Public Relations,5'7",Chicago IL,Caucasian,20,7
Sarah,24,Student,5'5",Denver CO,Caucasian,21,7
Tiffany,26,Realtor,5'6",Philadelphia PA,Caucasian,22,7
Renee,27,Social Worker,5'5",Chicago IL,Caucasian,23,7
Allison,24,Personal Trainer,5'7",Portland OR,Caucasian,24,7
Danielle,26,Teacher,5'6",Los Angeles CA,Caucasian,25,7
Jen,24,Interior Designer,5'6",Omaha NE,Caucasian,0,8
Kristin,27,Real Estate Agent,5'8",Dallas TX,Caucasian,2,8
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,3,8
Sarah,24,Student,5'6",Denver CO,Caucasian,4,8
Tiffany,26,Realtor,5'6",Philadelphia PA,Caucasian,5,8
Danielle,26,Teacher,5'6",Los Angeles CA,Caucasian,6,8
Kimberly,25,Public Relations,5'7",Chicago IL,Caucasian,7,8
Heather,25,Waitress,5'7",Tucson AZ,Caucasian,8,8
Bevin,29,Public Relations,5'8",New York NY,Caucasian,9,8
Samantha,26,Public Relations,5'7",Chicago IL,Caucasian,10,8
Sarah,25,Sales,5'7",Cincinnati OH,Caucasian,11,8
Moana,28,Real Estate Agent,5'6",San Diego CA,Caucasian,12,8
Lindsay,24,Advertising Executive,5'7",Phoenix AZ,Caucasian,13,8
Jessica,25,Personal Trainer,5'6",Portland OR,Caucasian,14,8
Brandy,26,Model,5'9",San Francisco CA,Caucasian,15,8
Allison,24,Personal Trainer,5'7",Portland OR,Caucasian,16,8
Courtney,25,Massage Therapist,5'6",San Diego CA,Caucasian,17,8
Kimberly,24,Teacher,5'6",Indianapolis IN,Caucasian,18,8
Jennifer,25,Teacher,5'6",Kansas City MO,Caucasian,19,8
Megan,25,Medical Sales,5'8",Los Angeles CA,Caucasian,20,8
Bevin,27,Public Relations,5'8",New York NY,Caucasian,21,8
Stephanie,26,Public Relations,5'7",Raleigh NC,Caucasian,22,8
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,23,8
Courtney,26,Interior Designer,5'6",Chicago IL,Caucasian,24,8
Renee,27,Social Worker,5'5",Chicago IL,Caucasian,25,8
Krisily Kennedy,24,Model,5'8",Glen Ridge NJ,Caucasian,0,9
Heather,25,Interior Designer,5'6",Los Angeles CA,Caucasian,2,9
Trish,26,Interior Designer,5'7",Birmingham AL,Caucasian,3,9
Christina,25,Advertising Executive,5'7",Chicago IL,Caucasian,4,9
Jennifer,24,Teacher,5'6",Kansas City MO,Caucasian,5,9
Renee,27,Social Worker,5'5",Chicago IL,Caucasian,6,9
Allison,24,Personal Trainer,5'7",Portland OR,Caucasian,7,9
Bevin,27,Public Relations,5'8",New York NY,Caucasian,8,9
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,9,9
Courtney,26,Massage Therapist,5'6",San Diego CA,Caucasian,10,9
Kimberly,24,Teacher,5'6",Indianapolis IN,Caucasian,11,9
Samantha,26,Public Relations,5'7",Chicago IL,Caucasian,12,9
Sarah,24,Student,5'6",Denver CO,Caucasian,13,9
Moana,28,Real Estate Agent,5'6",San Diego CA,Caucasian,14,9
Jessica,25,Personal Trainer,5'6",Portland OR,Caucasian,15,9
Kristin,27,Real Estate Agent,5'8",Dallas TX,Caucasian,16,9
Tiffany,26,Realtor,5'6",Philadelphia PA,Caucasian,17,9
Heather,25,Waitress,5'7",Tucson AZ,Caucasian,18,9
Lindsay,24,Advertising Executive,5'7",Phoenix AZ,Caucasian,19,9
Megan,25,Medical Sales,5'8",Los Angeles CA,Caucasian,20,9
Brandy,26,Model,5'9",San Francisco CA,Caucasian,21,9
Renee,27,Social Worker,5'5",Chicago IL,Caucasian,22,9
Stephanie,26,Public Relations,5'7",Raleigh NC,Caucasian,23,9
Tessa,25,Teacher,5'7",Pittsburgh PA,Caucasian,24,9
Courtney,26,Interior Designer,5'6",Chicago IL,Caucasian,25,9
